id|title|author|genre|releasedDate|filename
1|Moby Dick; Or, The Whale by Herman Melville|28 by Herman Melville|Fiction|2001-07-01|2701_Moby_Dick_Or,_The_Whale_by_Herman_Melville
2|Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley|30 by Mary Wollstonecraft Shelley|Fiction|1993-10-01|84_Frankenstein;_Or,_The_Modern_Prometheus_by_Mary_Wollstonecraft_Shelley
3|Romeo and Juliet by William Shakespeare|336 by William Shakespeare|Fiction|1998-11-01|1513_Romeo_and_Juliet_by_William_Shakespeare
4|A Room with a View by E. M. Forster|15 by E. M. Forster|Fiction|2001-05-01|2641_A_Room_with_a_View_by_E._M._Forster
5|The Complete Works of William Shakespeare by William Shakespeare|336 by William Shakespeare|Fiction|1994-01-01|100_The_Complete_Works_of_William_Shakespeare_by_William_Shakespeare
6|How to Observe_ Morals and Manners by Harriet Martineau|29 by Harriet Martineau|Fiction|2010-10-05|33944_How_to_Observe__Morals_and_Manners_by_Harriet_Martineau
7|Pride and Prejudice by Jane Austen|33 by Jane Austen|Fiction|1998-06-01|1342_Pride_and_Prejudice_by_Jane_Austen
8|Middlemarch by George Eliot|30 by George Eliot|Fiction|1994-07-01|145_Middlemarch_by_George_Eliot
9|Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott|62 by Louisa May Alcott|Fiction|2011-08-16|37106_Little_Women;_Or,_Meg,_Jo,_Beth,_and_Amy_by_Louisa_May_Alcott
10|Beowulf_ An Anglo-Saxon Epic Poem by J. Lesslie Hall|Hall, J. Lesslie (John Lesslie), 1856-1928|Fiction|2005-07-19|16328_Beowulf__An_Anglo-Saxon_Epic_Poem_by_J._Lesslie_Hall
11|Alice's Adventures in Wonderland by Lewis Carroll|35 by Lewis Carroll|Fiction|2008-06-27|11_Alice's_Adventures_in_Wonderland_by_Lewis_Carroll
12|Society in America, Volume 1 (of 2) by Harriet Martineau|29 by Harriet Martineau|Fiction|2016-07-22|52621_Society_in_America,_Volume_1_(of_2)_by_Harriet_Martineau
13|The Enchanted April by Elizabeth Von Arnim|16 by Elizabeth Von Arnim|Fiction|2005-07-29|16389_The_Enchanted_April_by_Elizabeth_Von_Arnim
14|The Blue Castle_ a novel by L. M. Montgomery|33 by L. M. Montgomery|Fiction|2022-05-03|67979_The_Blue_Castle__a_novel_by_L._M._Montgomery
15|The Philosophy of Auguste Comte by Lucien Lévy-Bruhl|2 by Lucien Lévy-Bruhl|Fiction|2018-02-07|56517_The_Philosophy_of_Auguste_Comte_by_Lucien_Lévy-Bruhl
16|Cranford by Elizabeth Cleghorn Gaskell|31 by Elizabeth Cleghorn Gaskell|Fiction|1996-01-01|394_Cranford_by_Elizabeth_Cleghorn_Gaskell
17|The Adventures of Ferdinand Count Fathom — Complete by T. Smollett|28 by T. Smollett|Fiction|2004-09-09|6761_The_Adventures_of_Ferdinand_Count_Fathom_—_Complete_by_T._Smollett
18|The Expedition of Humphry Clinker by T. Smollett|28 by T. Smollett|Fiction|2000-04-01|2160_The_Expedition_of_Humphry_Clinker_by_T._Smollett
19|History of Tom Jones, a Foundling by Henry Fielding|19 by Henry Fielding|Fiction|2004-09-01|6593_History_of_Tom_Jones,_a_Foundling_by_Henry_Fielding
20|The Adventures of Roderick Random by T. Smollett|28 by T. Smollett|Fiction|2003-05-01|4085_The_Adventures_of_Roderick_Random_by_T._Smollett
21|Right Ho, Jeeves by P. G. Wodehouse|55 by P. G. Wodehouse|Fiction|2004-01-01|10554_Right_Ho,_Jeeves_by_P._G._Wodehouse
22|Twenty years after by Alexandre Dumas and Auguste Maquet|175 by Alexandre Dumas|Fiction|1998-03-01|1259_Twenty_years_after_by_Alexandre_Dumas_and_Auguste_Maquet
23|My Life — Volume 1 by Richard Wagner|17 by Richard Wagner|Fiction|2004-02-01|5197_My_Life_—_Volume_1_by_Richard_Wagner
24|The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson|127 by Robert Louis Stevenson|Fiction|2008-06-27|43_The_Strange_Case_of_Dr._Jekyll_and_Mr._Hyde_by_Robert_Louis_Stevenson
25|Fables of La Fontaine — a New Edition, with Notes by Jean de La Fontaine|38 by Jean de La Fontaine|Fiction|2005-01-01|7241_Fables_of_La_Fontaine_—_a_New_Edition,_with_Notes_by_Jean_de_La_Fontaine
26|Scenes in the Life of Harriet Tubman by Sarah H. Bradford|3 by Sarah H. Bradford|Fiction|2018-08-31|57821_Scenes_in_the_Life_of_Harriet_Tubman_by_Sarah_H._Bradford
